Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.3693      -6.4084       0.0391   302.1
0.0500          -6.4371      -6.5498       0.1127   871.8
0.1000          -6.4742      -6.5743       0.1000   773.8
0.1500          -6.4820      -6.5702       0.0882   682.7
0.2000          -6.4738      -6.5686       0.0947   733.0
0.2500          -6.4534      -6.5517       0.0984   760.9
0.3000          -6.4266      -6.5535       0.1269   981.5
0.3500          -6.3974      -6.5406       0.1432  1108.0
0.4000          -6.3643      -6.5047       0.1404  1085.9
0.4500          -6.3314      -6.4860       0.1546  1196.0
0.5000          -6.2963      -6.4721       0.1759  1360.6
0.5500          -6.2630      -6.4636       0.2006  1552.1
0.6000          -6.2288      -6.4463       0.2175  1683.0
0.6500          -6.2019      -6.4362       0.2342  1812.0
0.7000          -6.1686      -6.4070       0.2384  1844.4
0.7500          -6.1338      -6.3980       0.2643  2044.5
0.8000          -6.1011      -6.3843       0.2832  2191.0
0.8500          -6.0778      -6.3734       0.2956  2286.8
0.9000          -6.0525      -6.4017       0.3492  2701.6
0.9500          -6.0289      -6.3873       0.3584  2772.8
1.0000          -5.9972      -6.3320       0.3347  2589.7
1.0500          -5.9776      -6.3294       0.3518  2721.7
1.1000          -5.9695      -6.3987       0.4292  3320.5
1.1500          -6.0001      -6.4129       0.4128  3193.6
1.2000          -6.0235      -6.4392       0.4157  3215.8
1.2500          -6.0368      -6.4538       0.4170  3226.2
1.3000          -6.0452      -6.4939       0.4487  3471.3
1.3500          -6.0499      -6.4407       0.3908  3023.1
1.4000          -6.0379      -6.4157       0.3778  2922.6
1.4500          -6.0350      -6.4316       0.3966  3068.3
1.5000          -6.0389      -6.4030       0.3641  2816.7
1.5500          -6.0321      -6.4193       0.3873  2996.0
1.6000          -6.0319      -6.4706       0.4387  3394.0
1.6500          -6.0246      -6.4408       0.4162  3220.2
1.7000          -6.0292      -6.4442       0.4150  3210.6
1.7500          -6.0247      -6.4417       0.4170  3226.2
1.8000          -6.0247      -6.4010       0.3763  2911.0
1.8500          -6.0121      -6.4497       0.4376  3385.7
1.9000          -6.0136      -6.3787       0.3651  2824.8
1.9500          -6.0190      -6.3926       0.3736  2890.2
2.0000          -6.0160      -6.4013       0.3853  2980.6
2.0500          -6.0172      -6.4496       0.4324  3345.1
2.1000          -6.0192      -6.4231       0.4039  3124.8
2.1500          -6.0202      -6.4025       0.3823  2957.8
2.2000          -6.0054      -6.4317       0.4263  3297.9
2.2500          -5.9954      -6.4014       0.4059  3140.5
2.3000          -5.9994      -6.4057       0.4063  3143.1
2.3500          -6.0193      -6.3894       0.3701  2863.1
2.4000          -6.0226      -6.4153       0.3927  3038.0
2.4500          -6.0243      -6.4094       0.3851  2979.4
2.5000          -6.0169      -6.3845       0.3676  2843.7
2.5500          -6.0213      -6.4246       0.4034  3120.6
2.6000          -6.0224      -6.3968       0.3744  2896.4
2.6500          -6.0251      -6.4417       0.4166  3222.9
2.7000          -6.0292      -6.3899       0.3607  2790.9
2.7500          -6.0351      -6.4382       0.4031  3118.3
2.8000          -6.0444      -6.4286       0.3842  2972.2
2.8500          -6.0501      -6.4123       0.3622  2802.5
2.9000          -6.0573      -6.4295       0.3723  2879.9
2.9500          -6.0539      -6.4212       0.3673  2841.5
3.0000          -6.0527      -6.4544       0.4017  3107.9
3.0500          -6.0510      -6.3773       0.3263  2524.3
3.1000          -6.0564      -6.4003       0.3439  2660.4
3.1500          -6.0578      -6.4271       0.3693  2856.9
3.2000          -6.0609      -6.4817       0.4208  3255.4
3.2500          -6.0693      -6.4768       0.4076  3153.0
3.3000          -6.0753      -6.4487       0.3735  2889.4
3.3500          -6.0783      -6.4699       0.3917  3030.2
3.4000          -6.0791      -6.4668       0.3877  2999.2
3.4500          -6.0840      -6.4450       0.3610  2793.0
3.5000          -6.0804      -6.4458       0.3654  2826.5
3.5500          -6.0921      -6.4705       0.3783  2927.0
3.6000          -6.1079      -6.4801       0.3722  2879.3
3.6500          -6.1320      -6.4551       0.3231  2499.5
3.7000          -6.1695      -6.5100       0.3405  2634.1
3.7500          -6.1979      -6.5211       0.3232  2500.2
3.8000          -6.2314      -6.4936       0.2621  2027.8
3.8500          -6.2611      -6.5721       0.3109  2405.5
3.9000          -6.2987      -6.5949       0.2962  2291.8
3.9500          -6.3306      -6.6117       0.2811  2174.9
4.0000          -6.3670      -6.6089       0.2419  1871.1
4.0500          -6.4040      -6.6501       0.2460  1903.5
4.1000          -6.4428      -6.6923       0.2496  1930.8
4.1500          -6.4777      -6.6497       0.1721  1331.4
4.2000          -6.5157      -6.6757       0.1600  1237.7
4.2500          -6.5490      -6.6958       0.1468  1135.3
4.3000          -6.5870      -6.7362       0.1492  1153.9
4.3500          -6.6226      -6.7575       0.1349  1043.7
4.4000          -6.6588      -6.7848       0.1260   974.7
4.4500          -6.6945      -6.7890       0.0945   731.2
4.5000          -6.7294      -6.8055       0.0760   588.3
