Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.1028      -6.1389       0.0361   279.6
0.0500          -6.3658      -6.6956       0.3299  2552.0
0.1000          -6.5160      -6.7138       0.1978  1530.3
0.1500          -6.5900      -6.8137       0.2237  1730.8
0.2000          -6.6451      -6.8521       0.2070  1601.3
0.2500          -6.6911      -6.8421       0.1510  1168.0
0.3000          -6.7074      -6.8896       0.1822  1409.4
0.3500          -6.6919      -6.8596       0.1677  1297.5
0.4000          -6.6651      -6.8508       0.1857  1436.3
0.4500          -6.6402      -6.8958       0.2556  1977.8
0.5000          -6.5952      -6.8726       0.2773  2145.5
0.5500          -6.5657      -6.8359       0.2703  2091.0
0.6000          -6.5234      -6.7959       0.2725  2108.2
0.6500          -6.4626      -6.7459       0.2833  2191.7
0.7000          -6.4249      -6.7422       0.3173  2454.8
0.7500          -6.3777      -6.7270       0.3494  2702.7
0.8000          -6.3571      -6.7596       0.4025  3113.5
0.8500          -6.3017      -6.7367       0.4350  3365.6
0.9000          -6.2984      -6.7513       0.4529  3504.1
0.9500          -6.2671      -6.7516       0.4845  3747.9
1.0000          -6.2533      -6.8073       0.5540  4286.1
1.0500          -6.2180      -6.7305       0.5125  3965.3
1.1000          -6.2005      -6.6952       0.4946  3826.7
1.1500          -6.1887      -6.7393       0.5506  4259.9
1.2000          -6.1848      -6.6979       0.5132  3970.2
1.2500          -6.1349      -6.6896       0.5547  4291.7
1.3000          -6.1098      -6.6116       0.5019  3882.7
1.3500          -6.1097      -6.6564       0.5467  4229.6
1.4000          -6.1169      -6.6588       0.5419  4192.0
1.4500          -6.1173      -6.5950       0.4777  3695.4
1.5000          -6.1024      -6.6073       0.5049  3906.1
1.5500          -6.1586      -6.6033       0.4447  3440.7
1.6000          -6.1861      -6.6951       0.5091  3938.2
1.6500          -6.2597      -6.8475       0.5878  4547.3
1.7000          -6.3010      -6.8354       0.5344  4134.4
1.7500          -6.3742      -7.0633       0.6891  5331.3
1.8000          -6.4211      -6.9640       0.5429  4199.9
1.8500          -6.4412      -6.9510       0.5098  3944.2
1.9000          -6.4743      -7.0264       0.5521  4271.5
1.9500          -6.4840      -6.9697       0.4857  3757.2
2.0000          -6.5034      -7.0418       0.5384  4165.1
2.0500          -6.5050      -7.0236       0.5186  4011.9
2.1000          -6.5137      -7.0880       0.5743  4442.9
2.1500          -6.4794      -6.9493       0.4699  3635.1
2.2000          -6.4518      -6.9792       0.5274  4080.0
2.2500          -6.4780      -6.9716       0.4936  3818.7
2.3000          -6.4870      -6.8946       0.4076  3153.2
2.3500          -6.4885      -6.9342       0.4457  3448.2
2.4000          -6.5140      -7.0796       0.5657  4376.2
2.4500          -6.5037      -6.9663       0.4626  3578.7
2.5000          -6.5133      -7.0857       0.5725  4428.7
2.5500          -6.5092      -7.0362       0.5270  4077.1
2.6000          -6.4969      -7.0876       0.5907  4569.8
2.6500          -6.5155      -7.0539       0.5384  4165.0
2.7000          -6.4916      -7.0276       0.5359  4146.3
2.7500          -6.5114      -7.0312       0.5199  4021.8
2.8000          -6.5121      -6.9760       0.4639  3589.2
2.8500          -6.5034      -7.0960       0.5926  4584.4
2.9000          -6.5178      -7.0214       0.5037  3896.5
2.9500          -6.5060      -7.0546       0.5485  4243.7
3.0000          -6.5107      -7.0578       0.5471  4232.7
3.0500          -6.5012      -7.0507       0.5495  4250.8
3.1000          -6.4943      -6.9033       0.4090  3164.4
3.1500          -6.5002      -7.0306       0.5304  4103.0
3.2000          -6.5092      -7.1298       0.6206  4801.4
3.2500          -6.4907      -7.0481       0.5574  4312.4
3.3000          -6.4996      -7.0384       0.5388  4168.3
3.3500          -6.4959      -7.0346       0.5387  4167.4
3.4000          -6.5009      -6.9628       0.4619  3573.2
3.4500          -6.5051      -7.0557       0.5507  4260.2
3.5000          -6.5063      -7.1882       0.6820  5275.8
3.5500          -6.4938      -7.1304       0.6365  4924.5
3.6000          -6.5376      -7.0377       0.5000  3868.5
3.6500          -6.5695      -7.1010       0.5315  4111.6
3.7000          -6.6216      -7.0434       0.4218  3263.2
3.7500          -6.6596      -7.0384       0.3789  2931.2
3.8000          -6.7216      -7.0905       0.3689  2853.6
3.8500          -6.7682      -7.1998       0.4317  3339.4
3.9000          -6.8145      -7.1124       0.2979  2304.5
3.9500          -6.8581      -7.2777       0.4196  3246.2
4.0000          -6.9122      -7.2632       0.3510  2715.4
4.0500          -6.9594      -7.3131       0.3537  2736.0
4.1000          -7.0192      -7.3441       0.3249  2513.5
4.1500          -7.0635      -7.3126       0.2491  1927.1
4.2000          -7.1196      -7.3392       0.2196  1699.2
4.2500          -7.1657      -7.4296       0.2639  2042.0
4.3000          -7.2166      -7.4370       0.2204  1705.4
4.3500          -7.2703      -7.4181       0.1477  1143.0
4.4000          -7.3188      -7.4326       0.1138   880.8
4.4500          -7.3648      -7.5001       0.1353  1046.6
4.5000          -7.4141      -7.4999       0.0858   663.6
