early_stopping/best_valid_loss,early_stopping/checks_since_best,early_stopping/distance_above_best,epoch,lr-AdamW/non-decayable,lr-AdamW/normal,n_learnable_parameters,n_parameters,offset/C,scale/many-body/C,step,test/test/energy_mae,test/test/energy_rmse,test/test/forces_mae,test/test/forces_rmse,test/test/forces_rmse_batchwise,test/test/per_atom_energy_mae,test/test/per_atom_energy_rmse,test/test/stress_mae,test/test/stress_rmse,test/test/virial_mae,test/test/virial_rmse,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/train/stress_mae,test/train/stress_rmse,test/train/virial_mae,test/train/virial_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,test/valid/stress_mae,test/valid/stress_rmse,test/valid/virial_mae,test/valid/virial_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise,valid/metrics/stress_mae,valid/metrics/stress_rmse,valid/metrics/virial_mae,valid/metrics/virial_rmse
,,,3,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3321168422698975,,309.9210510253906,,,,,,1.5586215257644653,0.5021281242370605,2.0653064250946045,25.7010555267334,42.09837341308594,1.0905036926269531,1.5680145025253296,1.5586215257644653,0.4046657085418701,0.5140424966812134,0.5021281242370605,0.053870733827352524,0.10947605222463608,22.27869415283203,52.899757385253906
,,,,0.01,0.01,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-6.5817131996154785,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7.0422868728637695,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05473256111145,2,0.08175277709960938,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3524134159088135,,307.65789794921875,,,,,,1.614363431930542,0.5156731605529785,2.1364853382110596,27.109066009521484,43.45582962036133,1.1229063272476196,1.6244009733200073,1.614363431930542,0.4202272295951843,0.5288201570510864,0.5156731605529785,0.043909378349781036,0.08699804544448853,18.554779052734375,42.05131149291992
,,,,0.01,0.01,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-6.569226264953613,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7.029567241668701,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05473256111145,3,0.43726491928100586,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.353290319442749,,308.2105407714844,,,,,,1.959738850593567,0.5323980450630188,2.491997480392456,27.358665466308594,40.4144287109375,1.3669956922531128,1.9698108434677124,1.959738850593567,0.4304981827735901,0.5458938479423523,0.5323980450630188,0.05775339528918266,0.1262756884098053,25.288768768310547,64.36631774902344
,,,,0.01,0.01,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-6.546655178070068,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7.01652717590332,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05473256111145,4,0.24057531356811523,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.360609531402588,,306.9473571777344,,,,,,1.709315538406372,0.581519603729248,2.2953078746795654,30.673908233642578,50.78678512573242,1.1477305889129639,1.7276865243911743,1.709315538406372,0.47707051038742065,0.5908239483833313,0.581519603729248,0.03395901247859001,0.06475744396448135,16.7301025390625,36.794281005859375
,,,,0.01,0.01,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2547051906585693,,797.0,,2.1243865489959717,0.6227120757102966,2.747098684310913,2.1243865489959717,0.6227120757102966,,,,,,,,,,,,,,,
,,,,,,,,-6.545598030090332,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7.011570930480957,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.05473256111145,5,0.12022280693054199,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.344489336013794,,308.9210510253906,,,,,,1.6619112491607666,0.508965015411377,2.174955368041992,26.362436294555664,42.75691604614258,1.1235787868499756,1.6767181158065796,1.6619112491607666,0.4128156900405884,0.5212282538414001,0.508965015411377,0.05291585624217987,0.10878361761569977,21.617586135864258,52.03212356567383
