epoch,lr-Adam/non-decayable,lr-Adam/normal,n_learnable_parameters,n_parameters,offset/C,step,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/train/stress_mae,test/train/stress_rmse,test/train/virial_mae,test/train/virial_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,test/valid/stress_mae,test/valid/stress_rmse,test/valid/virial_mae,test/valid/virial_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise,valid/metrics/stress_mae,valid/metrics/stress_rmse,valid/metrics/virial_mae,valid/metrics/virial_rmse
,,,,,-7.099430561065674,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,0.2829037606716156,,4025.5,,,,,,0.6683207154273987,0.0777897983789444,0.8121616244316101,1.3453786373138428,2.1168088912963867,0.508739173412323,0.7143141031265259,0.6683207154273987,0.04791245609521866,0.08494478464126587,0.0777897983789444,0.018849918618798256,0.03793416544795036,6.2548065185546875,13.14272403717041
,0.0001,0.0001,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099313735961914,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,0.2730086147785187,,4153.5,,,,,,0.6646074056625366,0.07748224586248398,0.8077476620674133,1.500937819480896,2.2871580123901367,0.5061120390892029,0.7103100419044495,0.6646074056625366,0.04836635664105415,0.08327703922986984,0.07748224586248398,0.01903279311954975,0.038483474403619766,6.23969030380249,13.124320030212402
,0.0001,0.0001,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,0.22256843745708466,,4493.0,,0.8404970765113831,0.04647574573755264,0.8869728446006775,0.8404970765113831,0.04647574573755264,,,,,,,,,,,,,,,
,,,,,-7.099306106567383,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,0.3017778992652893,,3627.0,,,,,,0.6607367992401123,0.07550007104873657,0.8017095327377319,1.4551184177398682,2.0839853286743164,0.5030480027198792,0.7064392566680908,0.6607367992401123,0.04845700412988663,0.08098183572292328,0.07550007104873657,0.019466489553451538,0.03923674300312996,6.3943772315979,13.409677505493164
,0.0001,0.0001,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099244117736816,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,0.2870336174964905,,3779.0,,,,,,0.656324028968811,0.07799650728702545,0.7997753024101257,1.800339698791504,2.590449333190918,0.49948564171791077,0.7022894024848938,0.656324028968811,0.050450801849365234,0.08234196156263351,0.07799650728702545,0.019324809312820435,0.03870008885860443,6.393548965454102,13.230212211608887
,0.0001,0.0001,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099303245544434,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,0.27496537566185,,3939.0,,,,,,0.6541704535484314,0.07709848135709763,0.7964404225349426,1.5394208431243896,2.3660690784454346,0.49825894832611084,0.6998918652534485,0.6541704535484314,0.048770904541015625,0.0819222554564476,0.07709848135709763,0.01912122592329979,0.03833906725049019,6.287657260894775,12.996710777282715
,0.0001,0.0001,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099429130554199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,0.23916837573051453,,4341.0,,,,,,0.6515008807182312,0.07482068240642548,0.7910701036453247,1.3005998134613037,1.8115477561950684,0.49661001563072205,0.6968229413032532,0.6515008807182312,0.04787860065698624,0.08076368272304535,0.07482068240642548,0.01917547918856144,0.03837718069553375,6.284979343414307,12.742936134338379
,0.0001,0.0001,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099206447601318,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,0.2580500841140747,,4442.5,,,,,,0.6468362212181091,0.0852522924542427,0.796730637550354,2.695392370223999,3.6109814643859863,0.4928778111934662,0.6923187375068665,0.6468362212181091,0.06366057693958282,0.08763902634382248,0.0852522924542427,0.018011171370744705,0.035786520689725876,5.895610809326172,11.678417205810547
,0.0001,0.0001,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,0.08433836698532104,,11857.0,,1.0042887926101685,0.05446558818221092,1.058754324913025,1.0042887926101685,0.05446558818221092,,,,,,,,,,,,,,,
,,,,,-7.099505424499512,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
