Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.3732      -6.4084       0.0352   272.1
0.0500          -6.4303      -6.5367       0.1064   823.1
0.1000          -6.4619      -6.5699       0.1080   835.6
0.1500          -6.4620      -6.5529       0.0909   703.3
0.2000          -6.4435      -6.5475       0.1040   804.3
0.2500          -6.4126      -6.5397       0.1270   982.8
0.3000          -6.3744      -6.5322       0.1578  1221.0
0.3500          -6.3321      -6.5059       0.1738  1344.5
0.4000          -6.2903      -6.4696       0.1793  1386.9
0.4500          -6.2450      -6.4313       0.1862  1440.8
0.5000          -6.1949      -6.4073       0.2124  1643.4
0.5500          -6.1503      -6.3923       0.2420  1871.8
0.6000          -6.1019      -6.3962       0.2943  2276.6
0.6500          -6.0635      -6.3745       0.3110  2406.2
0.7000          -6.0234      -6.3723       0.3489  2699.2
0.7500          -5.9719      -6.3283       0.3565  2757.7
0.8000          -5.9210      -6.2959       0.3749  2900.1
0.8500          -5.8749      -6.2613       0.3864  2989.2
0.9000          -5.8319      -6.2969       0.4651  3597.9
0.9500          -5.7914      -6.1795       0.3880  3002.1
1.0000          -5.7459      -6.2042       0.4583  3545.9
1.0500          -5.7149      -6.1910       0.4760  3682.8
1.1000          -5.6893      -6.2202       0.5309  4107.2
1.1500          -5.6731      -6.2141       0.5410  4185.3
1.2000          -5.6848      -6.2079       0.5231  4046.9
1.2500          -5.6877      -6.2404       0.5527  4276.1
1.3000          -5.7022      -6.2231       0.5209  4029.7
1.3500          -5.7302      -6.2392       0.5090  3937.5
1.4000          -5.7456      -6.2359       0.4903  3793.0
1.4500          -5.7401      -6.1659       0.4258  3294.1
1.5000          -5.7405      -6.2713       0.5308  4106.3
1.5500          -5.7530      -6.2557       0.5027  3889.3
1.6000          -5.7532      -6.3074       0.5542  4287.4
1.6500          -5.7498      -6.2438       0.4940  3821.6
1.7000          -5.7479      -6.3243       0.5765  4459.7
1.7500          -5.7766      -6.2673       0.4907  3796.6
1.8000          -5.7854      -6.2814       0.4960  3837.6
1.8500          -5.7893      -6.3084       0.5191  4015.8
1.9000          -5.7936      -6.3327       0.5391  4170.6
1.9500          -5.7938      -6.2862       0.4924  3809.4
2.0000          -5.7937      -6.3482       0.5545  4289.6
2.0500          -5.8038      -6.3355       0.5317  4113.7
2.1000          -5.8073      -6.3761       0.5688  4400.7
2.1500          -5.7984      -6.2827       0.4842  3746.3
2.2000          -5.8016      -6.2599       0.4583  3545.5
2.2500          -5.7993      -6.3126       0.5133  3971.2
2.3000          -5.7988      -6.3121       0.5133  3971.1
2.3500          -5.8029      -6.3044       0.5015  3879.8
2.4000          -5.8093      -6.3335       0.5242  4055.7
2.4500          -5.7932      -6.2884       0.4952  3830.9
2.5000          -5.7819      -6.3032       0.5213  4033.0
2.5500          -5.7807      -6.3479       0.5672  4388.4
2.6000          -5.7776      -6.3167       0.5391  4170.4
2.6500          -5.7829      -6.3213       0.5384  4165.5
2.7000          -5.7741      -6.3334       0.5593  4326.8
2.7500          -5.7800      -6.3323       0.5523  4272.9
2.8000          -5.7744      -6.3091       0.5346  4136.1
2.8500          -5.7819      -6.2849       0.5031  3891.9
2.9000          -5.7774      -6.2944       0.5170  3999.6
2.9500          -5.7793      -6.2751       0.4958  3835.4
3.0000          -5.7597      -6.2427       0.4830  3737.0
3.0500          -5.7301      -6.2331       0.5029  3891.0
3.1000          -5.7343      -6.3099       0.5757  4453.6
3.1500          -5.7369      -6.2529       0.5160  3992.0
3.2000          -5.7600      -6.2293       0.4693  3630.8
3.2500          -5.7697      -6.3106       0.5410  4185.2
3.3000          -5.7735      -6.2985       0.5251  4062.0
3.3500          -5.7857      -6.3586       0.5729  4431.9
3.4000          -5.7918      -6.3005       0.5086  3935.0
3.4500          -5.7997      -6.3638       0.5641  4364.2
3.5000          -5.7935      -6.2725       0.4790  3705.7
3.5500          -5.8009      -6.3386       0.5377  4159.9
3.6000          -5.8204      -6.3441       0.5238  4051.9
3.6500          -5.8461      -6.2731       0.4271  3303.9
3.7000          -5.8800      -6.3770       0.4971  3845.4
3.7500          -5.9155      -6.3770       0.4615  3570.2
3.8000          -5.9608      -6.3687       0.4079  3155.6
3.8500          -6.0170      -6.4619       0.4449  3442.2
3.9000          -6.0682      -6.4761       0.4080  3156.2
3.9500          -6.1233      -6.4754       0.3521  2724.2
4.0000          -6.1768      -6.5207       0.3439  2660.7
4.0500          -6.2241      -6.5466       0.3224  2494.6
4.1000          -6.2743      -6.5502       0.2759  2134.3
4.1500          -6.3239      -6.5724       0.2485  1922.8
4.2000          -6.3706      -6.6493       0.2787  2156.1
4.2500          -6.4193      -6.6312       0.2119  1639.3
4.3000          -6.4717      -6.6612       0.1896  1466.5
4.3500          -6.5200      -6.6691       0.1491  1153.4
4.4000          -6.5680      -6.6985       0.1306  1010.0
4.4500          -6.6162      -6.7164       0.1002   775.2
4.5000          -6.6646      -6.7577       0.0931   720.5
