Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -4.8370      -4.8810       0.0440   340.0
0.0500          -5.4395      -6.0156       0.5761  4456.9
0.1000          -5.8424      -6.2308       0.3884  3004.5
0.1500          -6.0657      -6.3517       0.2860  2212.3
0.2000          -6.1825      -6.3845       0.2020  1562.6
0.2500          -6.2305      -6.4481       0.2175  1683.0
0.3000          -6.2372      -6.4680       0.2307  1785.1
0.3500          -6.2218      -6.3548       0.1330  1028.8
0.4000          -6.1917      -6.4115       0.2198  1700.5
0.4500          -6.1447      -6.3549       0.2102  1626.1
0.5000          -6.1069      -6.3961       0.2892  2237.1
0.5500          -6.0791      -6.3993       0.3202  2477.0
0.6000          -6.0553      -6.3857       0.3304  2556.3
0.6500          -6.0177      -6.3234       0.3057  2365.1
0.7000          -5.9696      -6.2970       0.3274  2532.7
0.7500          -5.9194      -6.2877       0.3683  2849.4
0.8000          -5.8724      -6.2579       0.3855  2982.3
0.8500          -5.8244      -6.3101       0.4857  3757.6
0.9000          -5.7629      -6.2314       0.4686  3624.9
0.9500          -5.6975      -6.2322       0.5347  4136.6
1.0000          -5.6412      -6.2532       0.6121  4735.4
1.0500          -5.5894      -6.2034       0.6140  4749.9
1.1000          -5.5408      -6.1413       0.6006  4646.3
1.1500          -5.5109      -6.0763       0.5653  4373.7
1.2000          -5.4751      -6.1045       0.6294  4869.4
1.2500          -5.4779      -6.0506       0.5727  4430.7
1.3000          -5.4709      -6.1348       0.6639  5136.2
1.3500          -5.4738      -6.1526       0.6788  5251.5
1.4000          -5.4790      -6.0722       0.5932  4589.3
1.4500          -5.4916      -6.0380       0.5464  4227.3
1.5000          -5.4995      -5.9898       0.4904  3793.8
1.5500          -5.5095      -6.0399       0.5304  4103.6
1.6000          -5.5128      -6.1980       0.6852  5300.8
1.6500          -5.5296      -6.0724       0.5428  4199.0
1.7000          -5.5410      -6.1464       0.6054  4683.4
1.7500          -5.5387      -6.0590       0.5203  4025.5
1.8000          -5.5516      -6.1163       0.5647  4368.5
1.8500          -5.5506      -6.1017       0.5512  4263.9
1.9000          -5.5559      -6.1316       0.5757  4453.9
1.9500          -5.5693      -6.0934       0.5241  4054.3
2.0000          -5.5465      -6.1191       0.5725  4429.1
2.0500          -5.5455      -6.1738       0.6283  4861.0
2.1000          -5.5383      -6.1348       0.5965  4614.5
2.1500          -5.5447      -6.0927       0.5480  4239.3
2.2000          -5.5608      -6.1330       0.5723  4427.2
2.2500          -5.5734      -6.2073       0.6340  4904.7
2.3000          -5.5981      -6.1311       0.5330  4123.7
2.3500          -5.5865      -6.0882       0.5017  3881.7
2.4000          -5.5935      -6.2610       0.6674  5163.3
2.4500          -5.5931      -6.1625       0.5695  4405.8
2.5000          -5.5960      -6.1142       0.5182  4009.0
2.5500          -5.6004      -6.2249       0.6245  4831.6
2.6000          -5.6198      -6.2240       0.6043  4674.7
2.6500          -5.6322      -6.1547       0.5225  4042.0
2.7000          -5.6242      -6.1389       0.5147  3981.7
2.7500          -5.6250      -6.2669       0.6419  4966.0
2.8000          -5.6303      -6.2555       0.6253  4837.4
2.8500          -5.6158      -6.2900       0.6742  5216.0
2.9000          -5.6212      -6.1699       0.5488  4245.6
2.9500          -5.6284      -6.2195       0.5911  4573.1
3.0000          -5.6098      -6.1878       0.5780  4471.3
3.0500          -5.5979      -6.2399       0.6419  4966.0
3.1000          -5.5927      -6.1967       0.6040  4672.6
3.1500          -5.5731      -6.0888       0.5157  3990.0
3.2000          -5.5892      -6.2178       0.6286  4863.1
3.2500          -5.6014      -6.1677       0.5664  4381.5
3.3000          -5.6011      -6.2424       0.6412  4960.6
3.3500          -5.6016      -6.1124       0.5108  3951.6
3.4000          -5.6090      -6.1637       0.5546  4290.9
3.4500          -5.6018      -6.1257       0.5239  4053.3
3.5000          -5.5719      -6.1041       0.5322  4117.1
3.5500          -5.5745      -6.1402       0.5658  4376.9
3.6000          -5.6210      -6.2055       0.5845  4521.9
3.6500          -5.6738      -6.2539       0.5801  4487.9
3.7000          -5.7392      -6.2818       0.5425  4197.2
3.7500          -5.7950      -6.2739       0.4788  3704.5
3.8000          -5.8600      -6.3764       0.5164  3994.9
3.8500          -5.9140      -6.4171       0.5031  3892.2
3.9000          -5.9752      -6.3866       0.4114  3183.0
3.9500          -6.0248      -6.3792       0.3544  2741.4
4.0000          -6.0895      -6.4283       0.3388  2621.2
4.0500          -6.1544      -6.4447       0.2904  2246.3
4.1000          -6.2053      -6.5083       0.3031  2344.5
4.1500          -6.2671      -6.5497       0.2826  2186.5
4.2000          -6.3223      -6.5743       0.2520  1949.6
4.2500          -6.3785      -6.6000       0.2215  1713.4
4.3000          -6.4353      -6.5878       0.1525  1179.9
4.3500          -6.4897      -6.6539       0.1642  1270.1
4.4000          -6.5461      -6.6952       0.1491  1153.1
4.4500          -6.6027      -6.7265       0.1238   957.7
4.5000          -6.6576      -6.7567       0.0991   766.9
