time,n_atoms,n_bonds,sp1,sp2,sp3,undercoord,overcoord,sp2_fraction,sp3_fraction,avg_coordination,avg_bond_length_A
2300,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5367085661165227
2350,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5378938517304126
2400,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5294373219991768
2450,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5402869084898292
2500,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5377517800053844
2550,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5359475051667206
2600,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5404928157991302
2650,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.536046038470019
2700,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.530725223727047
2750,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5308674038130408
2800,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5370399229934
2850,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5390929963462319
2900,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.540022734630819
2950,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5385047559285525
3000,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.530322331280311
3050,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5395297278910582
3100,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5326333050943337
3150,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5386230867794954
3200,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5384740402118644
3250,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5297827669985604
3300,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.540860501607036
3350,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.538452135615591
3400,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5400794912832676
3450,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.540496047077625
3500,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5292837709278264
3550,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5376600317434337
3600,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5418059195736808
3650,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5363130961341984
3700,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.540697220916451
3750,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5398175614464806
3800,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.527795763287209
3850,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5290783994899777
3900,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5372154946688985
3950,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5307394369660228
4000,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5398153525966212
4050,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5372491132808244
4100,27,53,0,2,25,0,0,0.07407407407407407,0.9259259259259259,3.925925925925926,1.5411679827546718
