time,n_atoms,n_bonds,sp1,sp2,sp3,undercoord,overcoord,sp2_fraction,sp3_fraction,avg_coordination,avg_bond_length_A
0,125,211,2,74,49,2,0,0.592,0.392,3.376,1.4995155179817266
50,125,207,2,82,41,2,0,0.656,0.328,3.312,1.4881735477246556
100,125,208,1,82,42,1,0,0.656,0.336,3.328,1.4916847045484418
150,125,207,1,84,40,1,0,0.672,0.32,3.312,1.4903919288490155
200,125,206,2,84,39,2,0,0.672,0.312,3.296,1.4895062849373084
250,125,208,2,80,43,2,0,0.64,0.344,3.328,1.495623245276487
300,125,207,2,82,41,2,0,0.656,0.328,3.312,1.4943112705681365
350,125,206,1,86,38,1,0,0.688,0.304,3.296,1.4935515344109727
400,125,203,2,90,33,2,0,0.72,0.264,3.248,1.4880475906850654
450,125,204,2,88,35,2,0,0.704,0.28,3.264,1.4831461074843852
500,125,208,2,81,41,2,1,0.648,0.328,3.328,1.5023551400357187
550,125,203,2,90,33,2,0,0.72,0.264,3.248,1.4926981968765114
600,125,206,1,86,38,1,0,0.688,0.304,3.296,1.495287358717752
650,125,206,1,86,38,1,0,0.688,0.304,3.296,1.501364939065451
700,125,204,2,88,35,2,0,0.704,0.28,3.264,1.5042062535521017
750,125,201,2,94,29,2,0,0.752,0.232,3.216,1.4858592833851543
800,125,196,5,99,20,5,1,0.792,0.16,3.136,1.4843689628616428
850,125,198,6,92,27,6,0,0.736,0.216,3.168,1.49100205971993
900,125,197,7,92,26,7,0,0.736,0.208,3.152,1.4811824816507848
950,125,198,12,82,29,12,2,0.656,0.232,3.168,1.4924324262321726
1000,125,196,11,86,28,11,0,0.688,0.224,3.136,1.4891453560074364
1050,125,198,10,85,29,10,1,0.68,0.232,3.168,1.5009066107174676
1100,125,192,12,92,21,12,0,0.736,0.168,3.072,1.4913744314749955
1150,125,187,17,92,16,17,0,0.736,0.128,2.992,1.489164853589797
1200,125,186,20,88,17,20,0,0.704,0.136,2.976,1.4849238837030496
1250,125,192,17,83,24,17,1,0.664,0.192,3.072,1.5074046921321524
1300,125,196,13,82,30,13,0,0.656,0.24,3.136,1.514303905010294
1350,125,193,14,86,25,14,0,0.688,0.2,3.088,1.4951354409702646
1400,125,188,17,91,16,17,1,0.728,0.128,3.008,1.489039733420991
1450,125,195,11,88,26,11,0,0.704,0.208,3.12,1.5086683662189542
1500,125,194,8,96,21,8,0,0.768,0.168,3.104,1.5080070386389162
1550,125,194,8,96,21,8,0,0.768,0.168,3.104,1.513108259674251
1600,125,190,10,100,15,10,0,0.8,0.12,3.04,1.4861622032714805
1650,125,193,7,97,20,8,0,0.776,0.16,3.088,1.5022357878892185
1700,125,188,14,96,15,14,0,0.768,0.12,3.008,1.486488347102341
1750,125,188,13,95,16,14,0,0.76,0.128,3.008,1.495344015493552
1800,125,194,6,97,21,7,0,0.776,0.168,3.104,1.509299571194213
1850,125,192,13,91,20,13,1,0.728,0.16,3.072,1.507751088009644
1900,125,191,11,96,18,11,0,0.768,0.144,3.056,1.5099338141293575
1950,125,190,12,96,17,12,0,0.768,0.136,3.04,1.497940243611141
2000,125,191,13,93,18,13,1,0.744,0.144,3.056,1.4991565123138317
2050,125,185,17,96,12,17,0,0.768,0.096,2.96,1.4814288605207102
2100,125,193,7,100,18,7,0,0.8,0.144,3.088,1.4978341179218413
2150,125,197,8,91,25,8,1,0.728,0.2,3.152,1.5091482270645278
2200,125,193,8,98,19,8,0,0.784,0.152,3.088,1.5091088441943714
2250,125,196,6,96,23,6,0,0.768,0.184,3.136,1.5065887325160938
2300,125,191,10,98,17,10,0,0.784,0.136,3.056,1.4885421750772383
2350,125,194,13,86,26,13,0,0.688,0.208,3.104,1.5020260429587142
2400,125,192,10,96,19,10,0,0.768,0.152,3.072,1.4985937377061722
2450,125,192,11,91,22,12,0,0.728,0.176,3.072,1.491517075009294
2500,125,188,14,96,15,14,0,0.768,0.12,3.008,1.4941953555621577
2550,125,194,9,94,22,9,0,0.752,0.176,3.104,1.497570487691769
2600,125,187,17,92,16,17,0,0.736,0.128,2.992,1.485510830097045
2650,125,191,10,98,17,10,0,0.784,0.136,3.056,1.4921220282720031
2700,125,190,10,100,15,10,0,0.8,0.12,3.04,1.4884666314199104
2750,125,190,13,94,18,13,0,0.752,0.144,3.04,1.5034737755701204
2800,125,199,7,89,28,7,1,0.712,0.224,3.184,1.5179577671153508
2850,125,196,6,96,23,6,0,0.768,0.184,3.136,1.497317634511727
2900,125,196,10,88,27,10,0,0.704,0.216,3.136,1.4861703639266413
2950,125,192,8,100,17,8,0,0.8,0.136,3.072,1.5000474191579964
3000,125,196,10,89,25,10,1,0.712,0.2,3.136,1.5039684667835855
3050,125,191,11,93,20,12,0,0.744,0.16,3.056,1.4948885870230402
3100,125,203,6,83,35,6,1,0.664,0.28,3.248,1.5284795543176573
3150,125,200,6,89,29,6,1,0.712,0.232,3.2,1.5075307250088457
3200,125,198,5,94,26,5,0,0.752,0.208,3.168,1.5008454922696959
