time,n_atoms,n_bonds,sp1,sp2,sp3,undercoord,overcoord,sp2_fraction,sp3_fraction,avg_coordination,avg_bond_length_A
0,64,111,0,34,30,0,0,0.53125,0.46875,3.46875,1.5150392854462331
50,64,111,0,34,30,0,0,0.53125,0.46875,3.46875,1.5242370796615718
100,64,113,0,30,34,0,0,0.46875,0.53125,3.53125,1.5226732562053122
150,64,111,0,34,30,0,0,0.53125,0.46875,3.46875,1.5135510772337346
200,64,112,0,32,32,0,0,0.5,0.5,3.5,1.5252442991375361
250,64,111,0,34,30,0,0,0.53125,0.46875,3.46875,1.5211507251672027
300,64,112,0,32,32,0,0,0.5,0.5,3.5,1.5224926078768266
350,64,112,0,34,28,0,2,0.53125,0.4375,3.5,1.5204598132629368
400,64,113,0,30,34,0,0,0.46875,0.53125,3.53125,1.5300398339539067
450,64,113,0,30,34,0,0,0.46875,0.53125,3.53125,1.5333707347370247
500,64,115,0,28,34,0,2,0.4375,0.53125,3.59375,1.5358690299347535
550,64,113,0,30,34,0,0,0.46875,0.53125,3.53125,1.532067930993959
600,64,109,0,38,26,0,0,0.59375,0.40625,3.40625,1.5066951816386545
650,64,109,2,34,28,2,0,0.53125,0.4375,3.40625,1.5195008724353882
700,64,110,0,37,26,0,1,0.578125,0.40625,3.4375,1.5280792507210899
750,64,110,0,36,28,0,0,0.5625,0.4375,3.4375,1.5176288543947536
800,64,107,2,38,24,2,0,0.59375,0.375,3.34375,1.4996497707266
850,64,103,3,44,17,3,0,0.6875,0.265625,3.21875,1.4806152699180306
900,64,107,1,40,23,1,0,0.625,0.359375,3.34375,1.5086276205175806
950,64,110,1,34,29,1,0,0.53125,0.453125,3.4375,1.5096047391568752
1000,64,108,3,34,27,3,0,0.53125,0.421875,3.375,1.5201372322436624
1050,64,111,0,36,26,0,2,0.5625,0.40625,3.46875,1.5220123989233418
1100,64,104,4,40,20,4,0,0.625,0.3125,3.25,1.5003115189754843
1150,64,106,4,36,24,4,0,0.5625,0.375,3.3125,1.512926272931697
1200,64,108,3,34,27,3,0,0.53125,0.421875,3.375,1.5234119393230108
1250,64,104,4,40,20,4,0,0.625,0.3125,3.25,1.5120640708115047
1300,64,104,3,39,21,4,0,0.609375,0.328125,3.25,1.5114064355886694
1350,64,105,2,43,18,2,1,0.671875,0.28125,3.28125,1.4957275501854992
1400,64,104,3,42,19,3,0,0.65625,0.296875,3.25,1.5056180945930142
