time,n_atoms,n_bonds,sp1,sp2,sp3,undercoord,overcoord,sp2_fraction,sp3_fraction,avg_coordination,avg_bond_length_A
1900,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.508634978771239
1950,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5087835028980865
2000,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.513478741055376
2050,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5109585906063456
2100,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5159455211309372
2150,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5095135708529617
2200,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5121293494274668
2250,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5081093284724587
2300,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5095036771238404
2350,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5138531626379672
2400,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.509689639199206
2450,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5133529865242672
2500,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.510863602374742
2550,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.510464806380935
2600,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.511984552585109
2650,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.512445865785312
2700,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.510314552862444
2750,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5100809964409065
2800,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.512150535444798
2850,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5103006340820289
2900,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.5109639097210683
2950,27,50,0,8,19,0,0,0.2962962962962963,0.7037037037037037,3.7037037037037037,1.509492846660635
