time,n_atoms,n_bonds,sp1,sp2,sp3,undercoord,overcoord,sp2_fraction,sp3_fraction,avg_coordination,avg_bond_length_A
0,36,53,6,26,4,6,0,0.7222222222222222,0.1111111111111111,2.9444444444444446,1.5120878731751057
50,36,50,9,26,1,9,0,0.7222222222222222,0.027777777777777776,2.7777777777777777,1.4438220896019758
100,36,53,6,26,4,6,0,0.7222222222222222,0.1111111111111111,2.9444444444444446,1.4793548387300832
150,36,54,6,24,6,6,0,0.6666666666666666,0.16666666666666666,3.0,1.4752013108129747
200,36,54,6,24,6,6,0,0.6666666666666666,0.16666666666666666,3.0,1.4740871019344841
250,36,54,4,28,4,4,0,0.7777777777777778,0.1111111111111111,3.0,1.4822200453933132
300,36,54,4,28,4,4,0,0.7777777777777778,0.1111111111111111,3.0,1.474915125000418
350,36,53,5,28,3,5,0,0.7777777777777778,0.08333333333333333,2.9444444444444446,1.4665625104378393
400,36,55,4,26,6,4,0,0.7222222222222222,0.16666666666666666,3.0555555555555554,1.5014483964536227
450,36,54,4,28,4,4,0,0.7777777777777778,0.1111111111111111,3.0,1.4786053866399556
500,36,53,4,30,2,4,0,0.8333333333333334,0.05555555555555555,2.9444444444444446,1.4622973146058638
550,36,53,4,30,2,4,0,0.8333333333333334,0.05555555555555555,2.9444444444444446,1.4598584329936184
600,36,53,4,30,2,4,0,0.8333333333333334,0.05555555555555555,2.9444444444444446,1.4658569670748878
650,36,53,4,30,2,4,0,0.8333333333333334,0.05555555555555555,2.9444444444444446,1.4602289751354853
700,36,53,4,30,2,4,0,0.8333333333333334,0.05555555555555555,2.9444444444444446,1.4630128708338552
750,36,54,4,28,4,4,0,0.7777777777777778,0.1111111111111111,3.0,1.48224843303107
800,36,51,7,28,1,7,0,0.7777777777777778,0.027777777777777776,2.8333333333333335,1.4511988340644542
850,36,52,8,24,4,8,0,0.6666666666666666,0.1111111111111111,2.888888888888889,1.4739243315698178
900,36,54,5,26,5,5,0,0.7222222222222222,0.1388888888888889,3.0,1.4832178672988983
950,36,51,7,28,1,7,0,0.7777777777777778,0.027777777777777776,2.8333333333333335,1.4774315518040004
1000,36,50,10,24,2,10,0,0.6666666666666666,0.05555555555555555,2.7777777777777777,1.4685195146896546
1050,36,52,7,26,3,7,0,0.7222222222222222,0.08333333333333333,2.888888888888889,1.4906065741487045
1100,36,52,7,26,3,7,0,0.7222222222222222,0.08333333333333333,2.888888888888889,1.496150624277438
1150,36,55,5,24,7,5,0,0.6666666666666666,0.19444444444444445,3.0555555555555554,1.5128443668677563
1200,36,56,2,28,6,2,0,0.7777777777777778,0.16666666666666666,3.111111111111111,1.5015786856511864
1250,36,52,7,26,3,7,0,0.7222222222222222,0.08333333333333333,2.888888888888889,1.4844872132558349
1300,36,53,6,26,4,6,0,0.7222222222222222,0.1111111111111111,2.9444444444444446,1.4822439085627985
1350,36,54,4,28,4,4,0,0.7777777777777778,0.1111111111111111,3.0,1.4748598214909672
1400,36,57,2,26,8,2,0,0.7222222222222222,0.2222222222222222,3.1666666666666665,1.5214369092423208
1450,36,52,10,20,6,10,0,0.5555555555555556,0.16666666666666666,2.888888888888889,1.4823707491933524
1500,36,52,9,22,5,9,0,0.6111111111111112,0.1388888888888889,2.888888888888889,1.493885051626856
1550,36,51,8,26,2,8,0,0.7222222222222222,0.05555555555555555,2.8333333333333335,1.4975340023394892
1600,36,56,3,26,7,3,0,0.7222222222222222,0.19444444444444445,3.111111111111111,1.5092461007813651
1650,36,56,2,28,6,2,0,0.7777777777777778,0.16666666666666666,3.111111111111111,1.4848474609164555
1700,36,54,4,28,4,4,0,0.7777777777777778,0.1111111111111111,3.0,1.5100119926333337
1750,36,52,7,26,3,7,0,0.7222222222222222,0.08333333333333333,2.888888888888889,1.4825683631830577
1800,36,50,8,28,0,8,0,0.7777777777777778,0.0,2.7777777777777777,1.4959423845576916
1850,36,52,8,24,4,8,0,0.6666666666666666,0.1111111111111111,2.888888888888889,1.4997423503167213
1900,36,47,12,23,0,13,0,0.6388888888888888,0.0,2.611111111111111,1.4741126811145835
1950,36,53,7,24,5,7,0,0.6666666666666666,0.1388888888888889,2.9444444444444446,1.5085184121567305
2000,36,49,11,24,1,11,0,0.6666666666666666,0.027777777777777776,2.7222222222222223,1.4757552026947138
2050,36,51,9,24,3,9,0,0.6666666666666666,0.08333333333333333,2.8333333333333335,1.4747833568571849
2100,36,52,9,22,5,9,0,0.6111111111111112,0.1388888888888889,2.888888888888889,1.4855013953614291
2150,36,51,9,24,3,9,0,0.6666666666666666,0.08333333333333333,2.8333333333333335,1.4958210414680413
2200,36,52,8,24,4,8,0,0.6666666666666666,0.1111111111111111,2.888888888888889,1.48224697783856
2250,36,51,9,24,3,9,0,0.6666666666666666,0.08333333333333333,2.8333333333333335,1.4942622912113868
2300,36,50,8,25,2,9,0,0.6944444444444444,0.05555555555555555,2.7777777777777777,1.4808933914985007
2350,36,51,9,24,3,9,0,0.6666666666666666,0.08333333333333333,2.8333333333333335,1.4941767261819843
2400,36,50,11,22,3,11,0,0.6111111111111112,0.08333333333333333,2.7777777777777777,1.4503699896004896
2450,36,53,7,24,5,7,0,0.6666666666666666,0.1388888888888889,2.9444444444444446,1.5056900101214605
2500,36,53,6,26,4,6,0,0.7222222222222222,0.1111111111111111,2.9444444444444446,1.5066558418610534
2550,36,53,5,28,3,5,0,0.7777777777777778,0.08333333333333333,2.9444444444444446,1.506622754574092
2600,36,53,5,28,3,5,0,0.7777777777777778,0.08333333333333333,2.9444444444444446,1.5147778145410882
2650,36,52,6,28,2,6,0,0.7777777777777778,0.05555555555555555,2.888888888888889,1.4830162299464165
2700,36,51,8,26,2,8,0,0.7222222222222222,0.05555555555555555,2.8333333333333335,1.4963309348511795
2750,36,53,5,28,3,5,0,0.7777777777777778,0.08333333333333333,2.9444444444444446,1.4738457866224999
2800,36,55,5,24,7,5,0,0.6666666666666666,0.19444444444444445,3.0555555555555554,1.5190803418700147
2850,36,51,11,20,5,11,0,0.5555555555555556,0.1388888888888889,2.8333333333333335,1.488088789797738
2900,36,55,7,21,7,7,1,0.5833333333333334,0.19444444444444445,3.0555555555555554,1.4876732439472358
2950,36,57,2,26,8,2,0,0.7222222222222222,0.2222222222222222,3.1666666666666665,1.5088718902293585
3000,36,52,5,30,1,5,0,0.8333333333333334,0.027777777777777776,2.888888888888889,1.489354128822705
3050,36,51,7,28,1,7,0,0.7777777777777778,0.027777777777777776,2.8333333333333335,1.4885490125362741
3100,36,52,7,26,3,7,0,0.7222222222222222,0.08333333333333333,2.888888888888889,1.4770089463078464
3150,36,53,8,22,6,8,0,0.6111111111111112,0.16666666666666666,2.9444444444444446,1.50001233070701
3200,36,53,7,24,5,7,0,0.6666666666666666,0.1388888888888889,2.9444444444444446,1.4874297952870845
3250,36,52,8,24,4,8,0,0.6666666666666666,0.1111111111111111,2.888888888888889,1.5092444514194585
3300,36,50,11,22,3,11,0,0.6111111111111112,0.08333333333333333,2.7777777777777777,1.5062952119492616
3350,36,56,5,22,9,5,0,0.6111111111111112,0.25,3.111111111111111,1.5375999028011325
3400,36,52,6,25,4,7,0,0.6944444444444444,0.1111111111111111,2.888888888888889,1.5061662369786322
3450,36,57,0,30,6,0,0,0.8333333333333334,0.16666666666666666,3.1666666666666665,1.5223167885162332
3500,36,54,5,26,5,5,0,0.7222222222222222,0.1388888888888889,3.0,1.4794379794171315
3550,36,54,4,28,4,4,0,0.7777777777777778,0.1111111111111111,3.0,1.4881222285273314
3600,36,55,3,28,5,3,0,0.7777777777777778,0.1388888888888889,3.0555555555555554,1.4982354297650575
3650,36,54,4,28,4,4,0,0.7777777777777778,0.1111111111111111,3.0,1.4982578878440465
3700,36,54,3,30,3,3,0,0.8333333333333334,0.08333333333333333,3.0,1.4682061042764951
3750,36,57,1,28,7,1,0,0.7777777777777778,0.19444444444444445,3.1666666666666665,1.4839500434042499
3800,36,56,1,30,5,1,0,0.8333333333333334,0.1388888888888889,3.111111111111111,1.4785168013817294
