time,n_atoms,n_bonds,sp1,sp2,sp3,undercoord,overcoord,sp2_fraction,sp3_fraction,avg_coordination,avg_bond_length_A
0,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.571917426102516
50,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5733094730473145
100,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5733853842865824
150,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.575478993774999
200,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5775030393815148
250,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5756812197960064
300,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5786728672095722
350,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5817004368437755
400,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5768165569346828
450,27,52,0,4,23,0,0,0.14814814814814814,0.8518518518518519,3.8518518518518516,1.5779474024736675
500,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5690088302218392
550,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5688002517618034
600,27,51,0,6,21,0,0,0.2222222222222222,0.7777777777777778,3.7777777777777777,1.5697841474582561
650,27,50,1,6,20,1,0,0.2222222222222222,0.7407407407407407,3.7037037037037037,1.5772696806041848
700,27,50,1,6,20,1,0,0.2222222222222222,0.7407407407407407,3.7037037037037037,1.5595797124626325
750,27,48,1,10,16,1,0,0.37037037037037035,0.5925925925925926,3.5555555555555554,1.535949221686274
800,27,49,0,10,17,0,0,0.37037037037037035,0.6296296296296297,3.6296296296296298,1.5407682603569433
850,27,49,0,10,17,0,0,0.37037037037037035,0.6296296296296297,3.6296296296296298,1.545135253691747
900,27,49,0,10,17,0,0,0.37037037037037035,0.6296296296296297,3.6296296296296298,1.5428607305037387
950,27,49,0,10,17,0,0,0.37037037037037035,0.6296296296296297,3.6296296296296298,1.5471340036419887
1000,27,46,0,16,11,0,0,0.5925925925925926,0.4074074074074074,3.4074074074074074,1.5302745018818518
1050,27,46,0,16,11,0,0,0.5925925925925926,0.4074074074074074,3.4074074074074074,1.5320562101713282
1100,27,46,0,16,11,0,0,0.5925925925925926,0.4074074074074074,3.4074074074074074,1.5203261960367531
1150,27,48,0,12,15,0,0,0.4444444444444444,0.5555555555555556,3.5555555555555554,1.5450884194987395
1200,27,46,0,16,11,0,0,0.5925925925925926,0.4074074074074074,3.4074074074074074,1.5273715717403074
1250,27,46,0,16,11,0,0,0.5925925925925926,0.4074074074074074,3.4074074074074074,1.5091174168729733
1300,27,47,0,14,13,0,0,0.5185185185185185,0.48148148148148145,3.4814814814814814,1.5270771781451191
1350,27,47,0,14,13,0,0,0.5185185185185185,0.48148148148148145,3.4814814814814814,1.5297134784889568
1400,27,46,0,16,11,0,0,0.5925925925925926,0.4074074074074074,3.4074074074074074,1.5210307172623383
1450,27,46,0,16,11,0,0,0.5925925925925926,0.4074074074074074,3.4074074074074074,1.5208092230275183
1500,27,48,0,12,15,0,0,0.4444444444444444,0.5555555555555556,3.5555555555555554,1.5475950241134624
1550,27,47,0,14,13,0,0,0.5185185185185185,0.48148148148148145,3.4814814814814814,1.5174729565861167
1600,27,46,1,14,12,1,0,0.5185185185185185,0.4444444444444444,3.4074074074074074,1.513733898025727
1650,27,46,1,14,12,1,0,0.5185185185185185,0.4444444444444444,3.4074074074074074,1.5207892401577268
1700,27,47,0,14,13,0,0,0.5185185185185185,0.48148148148148145,3.4814814814814814,1.507762823127576
1750,27,46,0,16,11,0,0,0.5925925925925926,0.4074074074074074,3.4074074074074074,1.5283465552641586
1800,27,46,0,16,11,0,0,0.5925925925925926,0.4074074074074074,3.4074074074074074,1.5183944638179596
1850,27,46,1,14,12,1,0,0.5185185185185185,0.4444444444444444,3.4074074074074074,1.5111029624412091
1900,27,45,1,16,10,1,0,0.5925925925925926,0.37037037037037035,3.3333333333333335,1.5024210861168539
1950,27,45,0,18,9,0,0,0.6666666666666666,0.3333333333333333,3.3333333333333335,1.4970484071703112
2000,27,47,0,14,13,0,0,0.5185185185185185,0.48148148148148145,3.4814814814814814,1.5312413108985992
