Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.0987      -6.1389       0.0402   310.9
0.0500          -6.3660      -6.7139       0.3479  2691.7
0.1000          -6.5384      -6.7805       0.2421  1872.9
0.1500          -6.6501      -6.8166       0.1665  1288.1
0.2000          -6.7208      -6.9210       0.2003  1549.4
0.2500          -6.7773      -6.9463       0.1690  1307.7
0.3000          -6.7877      -6.9611       0.1733  1341.0
0.3500          -6.8027      -6.9930       0.1903  1472.1
0.4000          -6.7855      -6.9413       0.1559  1205.8
0.4500          -6.7753      -6.9793       0.2041  1578.7
0.5000          -6.7464      -6.9546       0.2082  1610.8
0.5500          -6.7112      -6.9177       0.2065  1597.4
0.6000          -6.6833      -6.8579       0.1746  1350.9
0.6500          -6.6444      -6.8742       0.2298  1777.9
0.7000          -6.6066      -6.8569       0.2503  1936.1
0.7500          -6.5645      -6.8158       0.2513  1944.1
0.8000          -6.5360      -6.8245       0.2885  2231.7
0.8500          -6.5046      -6.8399       0.3353  2594.2
0.9000          -6.4537      -6.7482       0.2944  2277.9
0.9500          -6.4160      -6.8049       0.3889  3008.8
1.0000          -6.3799      -6.6979       0.3180  2459.8
1.0500          -6.3561      -6.7285       0.3724  2880.8
1.1000          -6.3353      -6.7262       0.3908  3023.6
1.1500          -6.3361      -6.7060       0.3700  2862.2
1.2000          -6.3336      -6.7364       0.4028  3116.3
1.2500          -6.3467      -6.7705       0.4238  3278.9
1.3000          -6.3399      -6.7698       0.4300  3326.4
1.3500          -6.3862      -6.8852       0.4990  3860.5
1.4000          -6.4008      -6.7842       0.3834  2966.2
1.4500          -6.3936      -6.7422       0.3486  2697.0
1.5000          -6.3716      -6.7809       0.4093  3166.4
1.5500          -6.3991      -6.8053       0.4061  3142.1
1.6000          -6.3858      -6.8253       0.4395  3400.2
1.6500          -6.3962      -6.7678       0.3716  2874.9
1.7000          -6.3831      -6.8093       0.4262  3297.2
1.7500          -6.3752      -6.6748       0.2996  2317.6
1.8000          -6.3631      -6.7816       0.4186  3238.2
1.8500          -6.3551      -6.7398       0.3848  2976.6
1.9000          -6.3327      -6.7607       0.4280  3311.1
1.9500          -6.3409      -6.6715       0.3307  2558.3
2.0000          -6.3512      -6.8408       0.4897  3788.2
2.0500          -6.3572      -6.6765       0.3192  2469.7
2.1000          -6.3973      -6.8083       0.4110  3179.4
2.1500          -6.4071      -6.8830       0.4759  3681.9
2.2000          -6.4476      -6.8666       0.4190  3241.5
2.2500          -6.4542      -6.8029       0.3488  2698.2
2.3000          -6.4835      -6.8428       0.3593  2779.5
2.3500          -6.4791      -6.8461       0.3670  2839.5
2.4000          -6.4840      -6.9189       0.4349  3364.6
2.4500          -6.4865      -6.9101       0.4237  3277.7
2.5000          -6.4811      -6.8607       0.3795  2936.1
2.5500          -6.4735      -6.7977       0.3241  2507.7
2.6000          -6.4912      -6.8363       0.3451  2669.5
2.6500          -6.4839      -6.8051       0.3212  2484.7
2.7000          -6.4778      -6.8156       0.3379  2614.0
2.7500          -6.4687      -6.8635       0.3948  3054.6
2.8000          -6.4583      -6.8799       0.4216  3261.4
2.8500          -6.4692      -6.8726       0.4033  3120.3
2.9000          -6.4758      -6.8471       0.3713  2872.7
2.9500          -6.5159      -7.1084       0.5926  4584.4
3.0000          -6.5689      -6.9647       0.3958  3061.7
3.0500          -6.5996      -7.0425       0.4429  3426.7
3.1000          -6.6173      -7.0652       0.4480  3465.8
3.1500          -6.6191      -7.0884       0.4693  3630.8
3.2000          -6.6348      -7.0194       0.3846  2975.7
3.2500          -6.6420      -7.0124       0.3703  2865.0
3.3000          -6.6515      -7.0823       0.4308  3332.8
3.3500          -6.6431      -7.0733       0.4302  3328.1
3.4000          -6.6550      -7.0122       0.3572  2763.6
3.4500          -6.6601      -7.0161       0.3560  2754.4
3.5000          -6.6534      -6.9347       0.2812  2175.8
3.5500          -6.6670      -7.0529       0.3859  2985.1
3.6000          -6.6946      -7.1294       0.4348  3364.0
3.6500          -6.7089      -7.0306       0.3217  2488.9
3.7000          -6.7490      -7.1127       0.3637  2813.8
3.7500          -6.7735      -7.0779       0.3044  2355.3
3.8000          -6.8129      -7.1642       0.3513  2717.8
3.8500          -6.8525      -7.1712       0.3187  2465.6
3.9000          -6.8818      -7.1879       0.3062  2368.5
3.9500          -6.9276      -7.2081       0.2805  2170.0
4.0000          -6.9662      -7.2047       0.2385  1844.9
4.0500          -6.9948      -7.2030       0.2082  1610.6
4.1000          -7.0403      -7.2338       0.1935  1496.6
4.1500          -7.0747      -7.2574       0.1827  1413.8
4.2000          -7.1103      -7.3334       0.2231  1725.9
4.2500          -7.1528      -7.3224       0.1696  1311.8
4.3000          -7.1840      -7.3148       0.1308  1012.1
4.3500          -7.2218      -7.3429       0.1211   936.6
4.4000          -7.2563      -7.3639       0.1076   832.2
4.4500          -7.2905      -7.3922       0.1017   786.7
4.5000          -7.3285      -7.4112       0.0827   640.1
