Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -7.0114      -7.0464       0.0350   270.5
0.0500          -7.0274      -7.0928       0.0654   505.9
0.1000          -7.0295      -7.0974       0.0679   525.4
0.1500          -7.0150      -7.0805       0.0655   506.5
0.2000          -6.9942      -7.0816       0.0874   675.9
0.2500          -6.9671      -7.0974       0.1303  1008.3
0.3000          -6.9379      -7.0557       0.1178   911.4
0.3500          -6.9052      -7.0100       0.1048   810.7
0.4000          -6.8724      -7.0271       0.1548  1197.5
0.4500          -6.8356      -7.0028       0.1672  1293.1
0.5000          -6.8021      -6.9880       0.1859  1438.1
0.5500          -6.7614      -6.9189       0.1576  1218.9
0.6000          -6.7259      -6.9265       0.2005  1551.4
0.6500          -6.7204      -6.9769       0.2565  1984.1
0.7000          -6.7003      -6.9810       0.2808  2172.3
0.7500          -6.6659      -6.9301       0.2642  2044.1
0.8000          -6.6414      -6.9380       0.2966  2294.9
0.8500          -6.6048      -6.8714       0.2666  2062.8
0.9000          -6.5763      -6.9304       0.3541  2739.6
0.9500          -6.5371      -6.8444       0.3073  2377.1
1.0000          -6.4967      -6.8239       0.3272  2531.0
1.0500          -6.4788      -6.8375       0.3586  2774.5
1.1000          -6.4654      -6.8159       0.3504  2710.9
1.1500          -6.4442      -6.7609       0.3168  2450.7
1.2000          -6.4364      -6.8549       0.4185  3238.0
1.2500          -6.4257      -6.8425       0.4168  3224.7
1.3000          -6.4230      -6.7784       0.3554  2749.7
1.3500          -6.4231      -6.9117       0.4886  3779.7
1.4000          -6.4158      -6.8692       0.4534  3507.9
1.4500          -6.4149      -6.7814       0.3665  2835.3
1.5000          -6.4060      -6.8477       0.4416  3416.6
1.5500          -6.4221      -6.8621       0.4400  3403.8
1.6000          -6.4221      -6.8137       0.3916  3029.6
1.6500          -6.4196      -6.7802       0.3606  2789.6
1.7000          -6.4224      -6.8890       0.4666  3609.6
1.7500          -6.4180      -6.7487       0.3306  2557.9
1.8000          -6.4225      -6.8910       0.4686  3625.0
1.8500          -6.4212      -6.8464       0.4251  3289.0
1.9000          -6.4292      -6.8739       0.4447  3440.4
1.9500          -6.4237      -6.8725       0.4488  3471.9
2.0000          -6.4296      -6.8150       0.3855  2982.0
2.0500          -6.4204      -6.8347       0.4143  3205.3
2.1000          -6.4043      -6.7850       0.3807  2945.2
2.1500          -6.4159      -6.7232       0.3073  2377.2
2.2000          -6.4179      -6.7975       0.3796  2937.0
2.2500          -6.4266      -6.8349       0.4083  3158.6
2.3000          -6.4208      -6.7668       0.3460  2676.8
2.3500          -6.4286      -6.7647       0.3361  2600.0
2.4000          -6.4235      -6.7610       0.3376  2611.6
2.4500          -6.4218      -6.8004       0.3787  2929.6
2.5000          -6.4127      -6.7502       0.3375  2611.3
2.5500          -6.4253      -6.8479       0.4226  3269.6
2.6000          -6.4262      -6.8466       0.4204  3252.4
2.6500          -6.4227      -6.7803       0.3576  2766.4
2.7000          -6.4227      -6.8234       0.4007  3099.9
2.7500          -6.4212      -6.7913       0.3700  2862.6
2.8000          -6.4001      -6.7528       0.3527  2728.9
2.8500          -6.3935      -6.8499       0.4564  3530.8
2.9000          -6.3904      -6.7666       0.3762  2910.4
2.9500          -6.3764      -6.7302       0.3538  2737.5
3.0000          -6.3336      -6.6464       0.3127  2419.4
3.0500          -6.3461      -6.7371       0.3910  3025.1
3.1000          -6.3715      -6.8465       0.4750  3674.9
3.1500          -6.4117      -6.8112       0.3995  3091.0
3.2000          -6.4098      -6.7904       0.3806  2944.6
3.2500          -6.4354      -6.7938       0.3584  2772.6
3.3000          -6.4494      -6.8462       0.3968  3070.0
3.3500          -6.4451      -6.8526       0.4076  3153.1
3.4000          -6.4372      -6.7948       0.3576  2766.2
3.4500          -6.4285      -6.8433       0.4148  3208.8
3.5000          -6.4194      -6.8557       0.4362  3374.8
3.5500          -6.4467      -6.7798       0.3331  2577.2
3.6000          -6.4624      -6.7805       0.3181  2460.9
3.6500          -6.5022      -6.8274       0.3252  2515.6
3.7000          -6.5472      -6.8695       0.3223  2493.5
3.7500          -6.5783      -6.9736       0.3953  3058.5
3.8000          -6.6142      -6.9522       0.3379  2614.4
3.8500          -6.6521      -6.9537       0.3016  2333.0
3.9000          -6.6854      -6.9828       0.2974  2300.9
3.9500          -6.7219      -6.9681       0.2462  1904.6
4.0000          -6.7580      -7.0393       0.2813  2176.2
4.0500          -6.8007      -7.0264       0.2257  1745.8
4.1000          -6.8387      -7.0563       0.2176  1683.6
4.1500          -6.8811      -7.0513       0.1702  1316.5
4.2000          -6.9162      -7.0827       0.1665  1288.2
4.2500          -6.9514      -7.1250       0.1736  1342.8
4.3000          -6.9895      -7.1379       0.1484  1148.4
4.3500          -7.0258      -7.1582       0.1324  1024.0
4.4000          -7.0613      -7.1672       0.1059   819.3
4.4500          -7.0969      -7.1975       0.1006   778.4
4.5000          -7.1335      -7.2192       0.0857   662.7
