Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -7.0195      -7.0587       0.0392   303.3
0.0500          -7.0090      -7.0513       0.0422   326.6
0.1000          -6.9898      -7.0277       0.0379   293.4
0.1500          -6.9635      -7.0312       0.0677   523.5
0.2000          -6.9338      -7.0050       0.0712   551.0
0.2500          -6.9024      -7.0006       0.0981   759.2
0.3000          -6.8685      -6.9963       0.1278   988.7
0.3500          -6.8338      -6.9827       0.1489  1151.8
0.4000          -6.8018      -6.9425       0.1407  1088.3
0.4500          -6.7617      -6.9439       0.1822  1409.3
0.5000          -6.7314      -6.9154       0.1841  1423.9
0.5500          -6.6977      -6.8968       0.1991  1540.2
0.6000          -6.6615      -6.8458       0.1843  1425.9
0.6500          -6.6232      -6.8521       0.2289  1770.5
0.7000          -6.5937      -6.8340       0.2403  1859.0
0.7500          -6.5735      -6.8357       0.2622  2028.5
0.8000          -6.5485      -6.8323       0.2838  2195.2
0.8500          -6.5257      -6.8548       0.3290  2545.6
0.9000          -6.4915      -6.7734       0.2819  2180.6
0.9500          -6.4560      -6.8125       0.3565  2757.9
1.0000          -6.4354      -6.7353       0.2999  2320.3
1.0500          -6.4067      -6.7398       0.3331  2577.0
1.1000          -6.3999      -6.7624       0.3624  2803.8
1.1500          -6.4009      -6.8491       0.4482  3467.4
1.2000          -6.4029      -6.8127       0.4098  3170.1
1.2500          -6.4025      -6.7723       0.3699  2861.3
1.3000          -6.4062      -6.8125       0.4063  3143.5
1.3500          -6.4062      -6.7919       0.3857  2983.9
1.4000          -6.4254      -6.8237       0.3984  3082.0
1.4500          -6.4324      -6.8197       0.3873  2996.5
1.5000          -6.4264      -6.7989       0.3725  2881.7
1.5500          -6.4244      -6.7886       0.3643  2818.0
1.6000          -6.4325      -6.8454       0.4129  3194.2
1.6500          -6.4389      -6.8157       0.3769  2915.5
1.7000          -6.4349      -6.8453       0.4104  3174.9
1.7500          -6.4369      -6.8333       0.3963  3066.2
1.8000          -6.4306      -6.7841       0.3535  2734.7
1.8500          -6.4312      -6.7997       0.3685  2850.6
1.9000          -6.4215      -6.7583       0.3368  2605.9
1.9500          -6.4215      -6.7891       0.3676  2844.1
2.0000          -6.4233      -6.8097       0.3864  2989.1
2.0500          -6.4284      -6.7689       0.3405  2634.2
2.1000          -6.4143      -6.8010       0.3867  2991.5
2.1500          -6.4156      -6.7922       0.3766  2913.5
2.2000          -6.4161      -6.8013       0.3852  2980.0
2.2500          -6.4217      -6.8398       0.4181  3234.6
2.3000          -6.4181      -6.7587       0.3406  2634.8
2.3500          -6.4285      -6.7969       0.3684  2850.5
2.4000          -6.4265      -6.7878       0.3613  2795.0
2.4500          -6.4306      -6.8331       0.4025  3113.9
2.5000          -6.4290      -6.8479       0.4189  3240.8
2.5500          -6.4318      -6.7996       0.3678  2845.7
2.6000          -6.4318      -6.8117       0.3799  2938.8
2.6500          -6.4491      -6.8247       0.3757  2906.2
2.7000          -6.4571      -6.8579       0.4008  3100.4
2.7500          -6.4735      -6.9035       0.4300  3326.6
2.8000          -6.4761      -6.8840       0.4079  3155.6
2.8500          -6.4810      -6.9501       0.4691  3629.2
2.9000          -6.4919      -6.8405       0.3486  2696.7
2.9500          -6.4896      -6.9250       0.4354  3368.4
3.0000          -6.5102      -6.9138       0.4036  3122.6
3.0500          -6.5129      -6.9096       0.3967  3068.9
3.1000          -6.5263      -6.8683       0.3421  2646.4
3.1500          -6.5283      -6.9333       0.4050  3133.3
3.2000          -6.5375      -6.9347       0.3972  3072.9
3.2500          -6.5402      -6.9299       0.3897  3014.7
3.3000          -6.5383      -6.8985       0.3602  2786.7
3.3500          -6.5380      -6.9721       0.4341  3358.2
3.4000          -6.5299      -6.9840       0.4541  3513.4
3.4500          -6.5245      -6.9316       0.4071  3149.3
3.5000          -6.5214      -6.9333       0.4118  3186.0
3.5500          -6.5188      -6.9687       0.4499  3480.9
3.6000          -6.5476      -6.9534       0.4058  3139.3
3.6500          -6.5731      -6.9498       0.3767  2914.4
3.7000          -6.6094      -7.0338       0.4244  3283.5
3.7500          -6.6436      -6.9654       0.3218  2489.2
3.8000          -6.6861      -6.9834       0.2973  2300.1
3.8500          -6.7210      -7.0074       0.2864  2216.1
3.9000          -6.7511      -7.0283       0.2772  2144.7
3.9500          -6.7805      -7.0491       0.2686  2078.4
4.0000          -6.8214      -7.0848       0.2634  2037.8
4.0500          -6.8594      -7.0977       0.2384  1844.1
4.1000          -6.8975      -7.1223       0.2249  1739.6
4.1500          -6.9379      -7.1233       0.1854  1434.3
4.2000          -6.9760      -7.1532       0.1772  1370.9
4.2500          -7.0128      -7.1776       0.1648  1274.8
4.3000          -7.0526      -7.2097       0.1571  1215.4
4.3500          -7.0910      -7.1983       0.1074   830.6
4.4000          -7.1282      -7.2313       0.1031   797.6
4.4500          -7.1640      -7.2500       0.0860   665.2
4.5000          -7.2017      -7.2671       0.0654   506.1
